time_s,hbaro_m,hdot_1_mps,hralt_m,lon_rad,lat_rad,tas_mps,gs_mps,wow,chi_rad,flap_te_pos
0.0,47.5488,0.0,0.1143,-1.57035948988158,0.611507371229604,0.0,0.0,0.0,2.42102991820831,0.115
1.0,47.5488,-0.08128,0.0762,,,0.0,0.0,,2.4010886920517,
2.0,47.244,-0.08128,0.0762,-1.57035948988158,0.611507371229604,0.0,0.0,0.0,2.41412726802063,0.115
3.0,47.244,-0.08128,0.0381,,,0.0,0.0,,2.40377315958099,
4.0,47.8536,0.4064,0.0,-1.57035948988158,0.611507371229604,0.0,0.0,0.0,2.39821247684174,0.115
5.0,47.244,-0.16256,0.0,,,0.0,0.0,,2.39897946756439,
6.0,47.244,-0.4064,0.0,-1.57035948988158,0.611504363584237,0.0,0.0,0.0,2.39035108825073,0.116
7.0,47.244,-0.16256,0.0,,,0.0,0.0,,2.39351492498169,
8.0,47.244,-0.08128,0.0,-1.57035948988158,0.611504363584237,0.0,0.0,0.0,2.37558704947205,0.115
9.0,46.9392,-0.32512,-0.0381,,,0.0,0.0,,2.38661227479401,
10.0,47.244,0.16256,-0.0381,-1.57035948988158,0.611504363584237,0.0,0.0,0.0,2.36398658110809,0.115
11.0,47.244,-0.08128,-0.0381,,,0.0,0.0,,2.35689218323975,
12.0,47.5488,0.16256,-0.0762,-1.57035948988158,0.611504363584237,0.0,0.0,0.0,2.35622106635742,0.116
13.0,47.244,-0.08128,-0.0762,,,0.0,0.0,,2.3232415305481,
14.0,47.5488,0.08128,-0.1143,-1.57035948988158,0.611504363584237,0.0,0.0,0.0,2.3308152976181,0.116
15.0,47.5488,0.08128,-0.1143,,,0.0,0.0,,2.30272506134949,
16.0,47.244,0.0,-0.0381,-1.57035948988158,0.611504363584237,0.0,0.0,0.0,2.28518068120117,0.116
17.0,47.244,0.08128,0.0,,,0.0,0.0,,2.26830741793518,
18.0,47.8536,0.32512,0.0,-1.57035948988158,0.611504363584237,0.0,0.0,0.0,2.23695747109528,0.115
19.0,47.5488,-0.08128,0.0,,,0.0,0.0,,2.21893385490341,
20.0,47.5488,0.16256,0.0381,-1.57035948988158,0.611504363584237,0.0,0.0,0.0,2.21548252980957,0.115
21.0,47.5488,-0.24384,0.0762,,,0.0,0.0,,2.18374922076645,
22.0,47.244,-0.16256,0.1143,-1.57035948988158,0.611504363584237,0.0,0.0,0.0,2.1637121207695,0.115
23.0,47.5488,-0.24384,0.1524,,,0.0,0.0,,2.15067367795868,
24.0,47.5488,0.08128,0.1524,-1.57035948988158,0.611504363584237,0.0,0.0,0.0,2.12699350518723,0.115
25.0,47.5488,0.0,0.1143,,,0.0,0.0,,2.11951561195755,
26.0,47.244,-0.08128,0.0,-1.57035948988158,0.611504363584237,0.0,0.0,0.0,2.08691943835144,0.115
27.0,47.5488,0.16256,0.0,,,0.0,0.0,,2.07455211242294,
28.0,47.5488,0.16256,0.0,-1.57035948988158,0.611504363584237,0.0,0.0,0.0,2.04732474071732,0.115
29.0,47.8536,0.24384,0.0,,,0.0,0.0,,2.02815050528336,
30.0,47.5488,0.0,0.0381,-1.57035948988158,0.611504363584237,0.0,0.0,0.0,1.9987181684082,0.115
31.0,47.5488,0.08128,0.0381,,,0.0,0.0,,1.96909408385239,
32.0,47.244,-0.73152,0.0381,-1.57035948988158,0.611501355938871,0.0,0.0,0.0,1.93822363937225,0.116
33.0,47.244,-0.24384,0.0,,,0.0,0.0,,1.93611441488495,
34.0,47.5488,0.08128,0.0381,-1.57035948988158,0.611501355938871,0.0,0.0,0.0,1.88817895945816,0.114
35.0,47.5488,0.08128,0.0762,,,0.0,0.0,,1.86037634471054,
36.0,47.8536,0.24384,0.1143,-1.57035948988158,0.611501355938871,0.0,0.0,0.0,1.85337782068253,0.114
37.0,47.5488,-0.24384,0.1143,,,0.0,0.0,,1.81454998061295,
