,M,Vf,DC
1,0.778,1.696,0.091831458
2,0.667,0.533,-0.056685776
3,0.75,0.9,-0.00609587
4,0.7,1.3,-0.012506119
5,0.667,1.216,-0.045171684
6,0.88,2,-0.073815785
7,0.864,1.55,0.054265606
8,0.661,1.92,0.050324052
9,0.65,2,0.072527342
10,0.7,0.9,-0.013418397
11,0.87,1.8,0.021167726
12,0.6,0.4,-0.046338154
13,0.875,1.8,0.0136539
14,0.9,0.6,-0.004361894
15,0.665,1.6,0.002783049
16,0.73125,0.65,-0.046666333
17,0.7,2,0.076594687
18,0.79375,0.55,-0.022887456
19,0.87,1.9,0.004531892
20,0.7875,0.9,-0.018825564
21,0.9,1.8,-0.060572142
22,0.86,0.9,0.050914605
23,0.88,1.6,0.033518008
24,0.75,1.2,0.013311069
25,0.7375,0.9,-0.004258683
26,0.89,0.5,-0.001412617
27,0.693,0.448,-0.032817276
28,0.87,1.1,0.062041017
29,0.87,0.5,0.001828487
30,0.843,0.96,0.051486846
31,0.659,1.12,-0.053686197
32,0.7625,1,0.005871643
33,0.7875,1,0.00067153
34,0.88,0.4,-0.011193629
35,0.605,0.576,-0.033760024
36,0.87,0.4,-0.024730881
37,0.866,0.48,-0.002067079
38,0.63,1.8,0.011119687
39,0.87,0.6,0.009800609
40,0.74375,1.75,0.093848254
41,0.826,0.896,0.034138775
42,0.862,1.024,0.060820633
43,0.86,2,0.009018135
44,0.9,0.9,0.000859177
45,0.874,1.536,0.047989168
46,0.89,1.1,0.032245
47,0.89,0.8,0.018758997
48,0.89,1.5,0.018733737
49,0.626,1.6,-0.008498885
50,0.7125,1.9,0.104256058
51,0.698,0.48,-0.029883065
52,0.725,1.1,-0.004172844
53,0.798,1.856,0.076340095
54,0.7875,0.4,-0.040084212
55,0.766,0.736,-0.030367222
56,0.623,1.184,-0.031932352
57,0.75,1.6,0.057476449
58,0.706,0.992,-0.01479037
59,0.657,1.23,-0.040993945
60,0.709,0.693,-0.034777785
61,0.725,1.4,0.019262712
62,0.791,0.587,-0.022144901
63,0.83125,1.45,0.063647313
64,0.7,1.4,-0.001977498
65,0.687,1.504,0.002826309
66,0.675,1.792,0.034695319
67,0.825,0.9,0.030357933
68,0.86,0.5,0.001025184
69,0.7625,0.7,-0.027290875
70,0.825,0.4,-0.009601384
71,0.7625,0.9,-0.012006212
72,0.88,1.8,0.002626398
73,0.7875,0.6,-0.020961541
74,0.665,1.1,-0.053371494
75,0.68,1.3,-0.032062469
76,0.7875,0.8,-0.011570543
77,0.68,0.6,-0.046866312
78,0.77,1,0.005112607
79,0.601,1.856,0.011032636
80,0.833,0.427,-0.006414467
81,0.874,1.01,0.056766732
82,0.65,1.6,-0.004974989
83,0.71875,1.15,-0.003616057
84,0.77,0.7,-0.019207683
85,0.806,1.472,0.065300041
86,0.677,1.92,0.071205246
87,0.8,0.7,-0.003056576
88,0.75,0.7,-0.040957106
89,0.725,1.5,0.029879455
90,0.89,0.768,0.017440433
