,rle,xup,zup,zxxup,xlo,zlo,zxxlo,alphate,betate,aoa,LperD
8001,0.01495071,0.46497475,0.09342652,-0.7952235,0.48649225,-0.06054175,0.3573031,-0.1593226,0.1228836,3.6586,148.2206406
8002,0.01564731,0.45609775,0.10890604,-0.6523985,0.42186275,-0.05045395,0.3612917,-0.1864774,0.1287412,1.4174,123.3985765
8003,0.01470933,0.40173025,0.10912636,-0.6635925,0.33852085,-0.04825975,0.4067833,-0.1571034,0.1649956,2.0254,128.0732484
8004,0.01467855,0.35392975,0.10475668,-0.6370285,0.37397335,-0.05284595,0.4486251,-0.1706846,0.16723,3.343,132.7004219
8005,0.01243701,0.40565725,0.1190938,-0.8463215,0.34986565,-0.05559215,0.3873485,-0.1896162,0.12229,0.9694,111.9370861
8006,0.01128573,0.40389175,0.09027268,-0.6716255,0.32882235,-0.05900765,0.3502037,-0.1965778,0.1620276,2.593,132.5795645
8007,0.01507761,0.33125875,0.10728628,-0.7213025,0.38597015,-0.05348075,0.3368981,-0.1695294,0.1258012,2.569,119.4563662
8008,0.01262223,0.43560475,0.12308812,-0.8060405,0.43273485,-0.06609855,0.3434739,-0.1987438,0.1129996,2.969,137.968254
8009,0.01166211,0.39014725,0.10936708,-0.5815225,0.40864345,-0.04695105,0.3412563,-0.1664438,0.1345484,1.3842,110.4538341
8010,0.01448847,0.42781675,0.08750644,-0.8101005,0.33335375,-0.05346925,0.3986675,-0.1651898,0.1446004,2.5466,139.3601463
8011,0.01360179,0.43999375,0.11245564,-0.8386365,0.46328105,-0.05997595,0.3833753,-0.2108962,0.1273916,3.1674,147.0854271
8012,0.01173069,0.33828775,0.1121986,-0.7137335,0.33964555,-0.05155795,0.3336949,-0.2127278,0.1524572,1.5682,105.303244
8013,0.01503279,0.41435275,0.0927778,-0.8423195,0.35770595,-0.06398255,0.3924305,-0.219051,0.1172892,2.4746,136.7383513
8014,0.01304505,0.42682675,0.1051198,-0.5981685,0.38879005,-0.05346465,0.3191265,-0.2244926,0.1299844,0.0762,95.8172232
8015,0.01438641,0.46028875,0.11846548,-0.7473155,0.42843165,-0.05871325,0.3426731,-0.2077118,0.132594,3.9946,158.7636933
8016,0.01089369,0.45152725,0.12100324,-0.8077515,0.40262875,-0.05962865,0.3498341,-0.1692178,0.137242,2.2386,131.9055649
8017,0.01302399,0.45253375,0.08733916,-0.8012555,0.37860255,-0.06550515,0.4277427,-0.178885,0.1479996,3.4594,145.6118881
8018,0.01362771,0.39084025,0.11235364,-0.6115375,0.47438135,-0.05544725,0.3223759,-0.2196666,0.1433908,2.4638,122.1503759
8019,0.01586385,0.40762075,0.10365508,-0.7956295,0.36597005,-0.06630325,0.4423419,-0.2098246,0.1133972,2.6798,137.5333333
8020,0.01251369,0.47495725,0.09685372,-0.7573495,0.33330485,-0.05042175,0.3888423,-0.2033038,0.1246364,1.9222,140.7806691
8021,0.01379889,0.42715675,0.0883102,-0.7964705,0.41638595,-0.06251975,0.3557631,-0.2046262,0.1664236,2.0046,123.5338346
8022,0.01611441,0.45136225,0.0836386,-0.7500125,0.39077865,-0.04624265,0.3949869,-0.2221062,0.146286,1.6934,130.552381
8023,0.01586439,0.42949975,0.10910188,-0.6825585,0.36502465,-0.04647495,0.3610453,-0.1864622,0.1321852,0.4914,106.9043478
8024,0.01409265,0.47697025,0.10464652,-0.6259795,0.42632895,-0.05780245,0.3187723,-0.2271678,0.124418,1.9442,133.3512545
8025,0.01128303,0.32983975,0.08642932,-0.6094785,0.46823625,-0.05621545,0.3729033,-0.1631986,0.1434244,3.8318,130.363901
8026,0.01201473,0.33790825,0.09048892,-0.6343605,0.33056645,-0.05512985,0.3158617,-0.2047858,0.160566,2.3438,120.5462822
8027,0.01387881,0.43209025,0.09056236,-0.7986165,0.41467445,-0.05956885,0.3412717,-0.1776614,0.163562,0.4942,90.96078431
8028,0.01474605,0.36599125,0.12397756,-0.8016035,0.48616625,-0.05068395,0.3684681,-0.1883698,0.1632932,2.9238,125.5857143
8029,0.01392309,0.34893025,0.08518492,-0.7548845,0.36658945,-0.06596975,0.3761989,-0.1681766,0.1341564,3.3034,132.7479675
8030,0.01495935,0.34571275,0.09656404,-0.6356365,0.35896105,-0.05015035,0.4392311,-0.1848206,0.1540924,1.973,119.6941896
8031,0.01602423,0.36836725,0.1024882,-0.8494245,0.45348475,-0.05800715,0.4154381,-0.2134726,0.1204588,2.6146,130.9803922
8032,0.01490967,0.41771875,0.10203124,-0.7432555,0.42135745,-0.06620435,0.4035801,-0.2008642,0.1217636,2.641,133.3106961
8033,0.01165023,0.45316075,0.09062356,-0.6342155,0.44468275,-0.06165955,0.3539151,-0.1550742,0.151018,2.5754,131.7830882
8034,0.01174959,0.46273075,0.1092202,-0.5893525,0.48482965,-0.06450465,0.3093937,-0.2249258,0.1673588,3.9478,149.0923318
8035,0.01518777,0.37605625,0.11363476,-0.6179465,0.40450325,-0.06801445,0.4507503,-0.2222126,0.114562,0.6642,96.32237872
8036,0.01281501,0.46857175,0.11600932,-0.8472205,0.43143085,-0.06441265,0.3277505,-0.2154334,0.1251628,0.289,97.51879699
8037,0.01188783,0.44352475,0.11889388,-0.6941295,0.43971125,-0.04625645,0.4061057,-0.1721666,0.1573852,2.1322,131.8270799
