,rle,xup,zup,zxxup,xlo,zlo,zxxlo,alphate,betate,aoa,LperD
1,0.01575153,0.43281625,0.11911828,-0.7060195,0.40440545,-0.06679315,0.4074917,-0.2248422,0.1296988,3.7866,148.9418778
2,0.01511271,0.43225525,0.09952204,-0.8685065,0.46989885,-0.05860745,0.4333637,-0.1644526,0.1572844,1.1222,105.5662188
3,0.01299375,0.33571375,0.11760868,-0.5970085,0.42098255,-0.05032285,0.4447597,-0.1562674,0.1676724,3.5358,98.37104072
4,0.01489941,0.36071125,0.11584612,-0.6398125,0.40013485,-0.04985825,0.3186799,-0.1973302,0.1485876,3.781,131.8302387
5,0.01337985,0.40955125,0.12183556,-0.6073035,0.45811395,-0.04653475,0.3725029,-0.2082362,0.1648556,1.9678,120.7046477
6,0.01178469,0.43849225,0.10025644,-0.6424225,0.44968685,-0.04992725,0.3518207,-0.1645742,0.1183532,2.529,134.767642
7,0.01454625,0.43098475,0.11871028,-0.8201345,0.47097465,-0.05439155,0.4140675,-0.175503,0.1264004,2.9762,142.369281
8,0.01104759,0.40446925,0.11314924,-0.5934415,0.42125965,-0.04962135,0.4037957,-0.1970414,0.1312388,1.7146,118.1355932
9,0.01199799,0.48647425,0.08692708,-0.6988565,0.36603525,-0.06525215,0.3747667,-0.226309,0.136542,3.5122,149.7614991
10,0.01483785,0.40427125,0.095389,-0.7610615,0.37767345,-0.04932925,0.3835447,-0.176149,0.1678964,3.3558,148.8557214
11,0.01450791,0.49292575,0.11332468,-0.8524405,0.42549765,-0.06796155,0.4306533,-0.1756398,0.1551284,3.4202,156.3362832
12,0.01227069,0.36995125,0.09601732,-0.8184815,0.47889645,-0.05940785,0.3506195,-0.2251538,0.1221052,1.645,111.5463918
13,0.01334259,0.47220175,0.1073842,-0.8114635,0.43573405,-0.05592565,0.3416721,-0.1581446,0.125258,3.5306,155.6719023
14,0.01607121,0.41720725,0.08757988,-0.6870245,0.46337885,-0.05580145,0.3122427,-0.1786874,0.1205036,3.017,137.1908127
15,0.01096281,0.35091025,0.12215788,-0.6914035,0.48672045,-0.05144295,0.4441591,-0.2071266,0.1614116,2.9458,102.2236025
16,0.01157301,0.34747825,0.10432828,-0.7685725,0.34486155,-0.05968385,0.3933083,-0.2180402,0.1604708,3.7482,137.184466
17,0.01153791,0.42153025,0.0934918,-0.6883295,0.39068085,-0.06492785,0.4591741,-0.190551,0.156982,0.2574,89.75700935
18,0.01544805,0.43347625,0.1183186,-0.7064835,0.40044455,-0.05974365,0.3724413,-0.178695,0.1162532,2.8802,138.7361769
19,0.01349919,0.49054975,0.09355708,-0.8020095,0.36235145,-0.04622655,0.4576187,-0.1987134,0.1396332,1.1474,126.848249
20,0.01411263,0.39648325,0.10241476,-0.7867845,0.43783675,-0.05433175,0.3238389,-0.175313,0.115374,3.435,143.1340872
21,0.01207575,0.38301925,0.09511972,-0.6093045,0.46934465,-0.05385565,0.4582655,-0.162431,0.143458,2.3878,122.5732899
22,0.01171017,0.38362975,0.09298996,-0.7892495,0.38019995,-0.06492095,0.3143371,-0.1866598,0.16233,2.6906,127.779661
23,0.01265139,0.37828375,0.09529516,-0.6407405,0.35410365,-0.05244345,0.3319085,-0.1917214,0.1655892,0.7642,102.2525597
24,0.01379511,0.47835625,0.11055436,-0.7312495,0.35320715,-0.06762575,0.4197809,-0.2081982,0.15967,2.577,143.8434783
25,0.01406619,0.38379475,0.11092564,-0.8182785,0.37579895,-0.05880985,0.3834369,-0.2090494,0.1394596,1.447,115.9934319
26,0.01240893,0.33840325,0.10888564,-0.6485415,0.42310155,-0.05570945,0.4523827,-0.1671126,0.1544172,3.2966,117.7272727
27,0.01280259,0.34173625,0.11281876,-0.8424355,0.44021655,-0.06361225,0.4551393,-0.1827762,0.125314,3.5818,130.3921569
28,0.01227933,0.40252225,0.12187228,-0.8072585,0.48691605,-0.05098065,0.3585659,-0.2209282,0.1466892,2.687,132.3628049
29,0.01602801,0.42667825,0.09952612,-0.7680215,0.33511415,-0.05688935,0.3131975,-0.1933098,0.1387484,2.8606,145.4827586
30,0.01304397,0.38724325,0.10400596,-0.6955505,0.45677735,-0.05187305,0.3873947,-0.1566398,0.13993,1.563,111.1833333
31,0.01301805,0.41125075,0.11334508,-0.7661075,0.46890455,-0.06241625,0.3483249,-0.1632594,0.1184708,1.607,111.2414966
32,0.01527579,0.44052175,0.08619268,-0.7422405,0.47405535,-0.06620205,0.4355043,-0.173527,0.1573292,1.2126,101.6007905
33,0.01447389,0.34660375,0.08742892,-0.6906205,0.41570135,-0.06319135,0.4541691,-0.156047,0.1274252,3.1078,128.3094099
34,0.01562139,0.47817475,0.08532772,-0.8637215,0.48170005,-0.06706915,0.4382609,-0.1651214,0.1554028,1.2686,101.1065574
35,0.01459215,0.46777975,0.11454052,-0.8129425,0.39962955,-0.05396145,0.3243779,-0.1840986,0.1471932,0.3198,101.8317757
36,0.01207629,0.35335225,0.0942262,-0.5904835,0.37636945,-0.06858715,0.3799103,-0.1842354,0.1556436,3.4014,126.729927
37,0.01467531,0.37724425,0.1196446,-0.8045905,0.43271855,-0.06245995,0.4390309,-0.2088214,0.1290436,3.7494,139.393512
38,0.01583847,0.44656075,0.11729452,-0.7246665,0.34991455,-0.04645655,0.3304609,-0.1592922,0.15435,2.7122,145.2682927
39,0.01377729,0.45599875,0.11712724,-0.6285025,0.44086855,-0.05002385,0.4427885,-0.1831562,0.1181516,2.1158,133.5914333
40,0.01562679,0.42377425,0.08429956,-0.7329315,0.43736405,-0.06872515,0.3873639,-0.2214602,0.1453396,0.0234,77.30693069
41,0.01153683,0.43456525,0.08481364,-0.7133565,0.44779605,-0.06538555,0.3589355,-0.1988426,0.1295532,2.1874,124.1242938
42,0.01302129,0.46961125,0.11051356,-0.7895685,0.47068125,-0.04983525,0.3997609,-0.2122262,0.1645084,2.1306,138.7971275
43,0.01343115,0.48094675,0.1081186,-0.8426385,0.39747795,-0.06312925,0.4070913,-0.1909538,0.1264452,3.8866,162.2165821
44,0.01326483,0.46329175,0.12353284,-0.5939055,0.34451925,-0.06439425,0.3421341,-0.211907,0.143682,0.7182,109.0100671
45,0.01307421,0.37016575,0.09443836,-0.6506005,0.40512265,-0.06199765,0.3956491,-0.2051506,0.1652644,2.173,118.5691318
46,0.01551771,0.44085175,0.1100362,-0.6903015,0.38182995,-0.04664515,0.3273193,-0.1605842,0.1403276,2.9738,146.9572368
47,0.01473849,0.34335325,0.09174556,-0.6590975,0.32878975,-0.06209655,0.4316851,-0.1813018,0.1237236,0.7462,97.11442786
48,0.01220913,0.46938025,0.0849646,-0.8530495,0.34600255,-0.06483815,0.3831443,-0.1636546,0.1289876,3.2542,144.1970803
49,0.01283283,0.36585925,0.09631516,-0.7210705,0.38606795,-0.05285975,0.3734115,-0.2007578,0.1316196,2.0818,122.6935484
50,0.01569267,0.40275325,0.10317772,-0.5817255,0.46438945,-0.05300695,0.4613917,-0.1784214,0.1397172,2.4526,127.900641
51,0.01150875,0.37311925,0.089167,-0.7536085,0.47881495,-0.06808575,0.4604985,-0.2172954,0.1522164,1.133,98.28571429
52,0.01543239,0.43529125,0.0967354,-0.6119435,0.34145485,-0.04879795,0.3959263,-0.1578254,0.1434468,1.477,124.3548387
53,0.01320057,0.37930675,0.11199868,-0.7046565,0.46859485,-0.05485845,0.3374987,-0.2085098,0.1385468,3.6178,136.8975469
54,0.01417635,0.45779725,0.11143972,-0.6106095,0.40525305,-0.05038955,0.3422265,-0.191729,0.119742,3.3006,149.9207607
55,0.01543671,0.33782575,0.08672308,-0.5946885,0.32890385,-0.05878225,0.4068295,-0.1887954,0.1579228,2.2062,119.65625
56,0.01422603,0.42694225,0.10970572,-0.7265515,0.39884715,-0.05841655,0.3285975,-0.2184202,0.1646708,1.1326,113.7172775
